A,z1,z2,phi,lambda,spinodal,arrest
0.0,0.5,0.5,0.03,3.4040994087508913,3.4040994087508913,3.4040994087508913
0.0,0.5,0.5,0.04,4.195932388542175,4.195932388542175,4.195932388542175
0.0,0.5,0.5,0.05,4.851291601332555,4.851291601332555,4.851291601332555
0.0,0.5,0.5,0.06,5.385527476179659,5.385527476179659,5.385527476179659
0.0,0.5,0.5,0.07,5.813307338485129,5.813307338485129,5.813307338485129
0.0,0.5,0.5,0.08,6.150842097867487,6.150842097867487,6.150842097867487
0.0,0.5,0.5,0.09,6.404017328044314,6.404017328044314,6.404017328044314
0.0,0.5,0.5,0.1,6.588578565324306,6.588578565324306,6.588578565324306
0.0,0.5,0.5,0.11,6.7113801881481905,6.7113801881481905,6.7113801881481905
0.0,0.5,0.5,0.12,6.784916245580673,6.784916245580673,6.784916245580673
0.0,0.5,0.5,0.13,6.8090295052124485,6.8090295052124485,6.8090295052124485
0.0,0.5,0.5,0.14,6.793241647067675,6.793241647067675,6.793241647067675
0.0,0.5,0.5,0.15,6.742638983745914,6.742638983745914,6.742638983745914
0.0,0.5,0.5,0.16,6.663416305664255,6.663416305664255,6.663416305664255
0.0,0.5,0.5,0.17,6.5592959983673085,6.5592959983673085,6.5592959983673085
0.0,0.5,0.5,0.18,6.43315609357039,6.43315609357039,6.43315609357039
0.0,0.5,0.5,0.19,6.2908248908782936,6.2908248908782936,6.2908248908782936
0.0,0.5,0.5,0.2,6.132833787386938,6.132833787386938,6.132833787386938
0.0,0.5,0.5,0.21,5.963533027536046,5.963533027536046,5.963533027536046
0.0,0.5,0.5,0.22,5.785644957256034,5.785644957256034,5.785644957256034
0.0,0.5,0.5,0.23,5.59960830126168,5.59960830126168,5.59960830126168
0.0,0.5,0.5,0.24,5.43525708206411,5.43525708206411,5.43525708206411
0.0,0.5,0.5,0.25,5.227769431056583,5.227769431056583,5.227769431056583
0.0,0.5,0.5,0.26,5.031077610646736,5.031077610646736,5.031077610646736
0.0,0.5,0.5,0.27,4.833109820997961,4.833109820997961,4.833109820997961
0.0,0.5,0.5,0.28,4.635564613825316,4.635564613825316,4.635564613825316
0.0,0.5,0.5,0.29,4.4232365482738,4.429727519803517,4.429727519803517
0.0,0.5,0.5,0.3,4.244362102426219,4.244362102426219,4.244362102426219
0.0,0.5,0.5,0.31,4.035504758761138,4.04471812731195,4.04471812731195
0.0,0.5,0.5,0.32,3.846402096969825,3.8570969715040238,3.8570969715040238
0.0,0.5,0.5,0.33,3.676987326637268,3.676987326637268,3.676987326637268
0.0,0.5,0.5,0.34,3.49591098318704,3.49591098318704,3.49591098318704
0.0,0.5,0.5,0.35,3.3190482897648064,3.3190482897648064,3.3190482897648064
0.0,0.5,0.5,0.36,3.146949541406631,3.146949541406631,3.146949541406631
0.0,0.5,0.5,0.37,2.9793146567795645,2.9793146567795645,2.9793146567795645
0.0,0.5,0.5,0.38,2.8347654244734732,2.8347654244734732,2.8347654244734732
0.0,0.5,0.5,0.39,2.6435753706480134,2.663089309684105,2.663089309684105
0.0,0.5,0.5,0.4,2.5263294058254444,2.5263294058254444,2.5263294058254444
0.0,0.5,0.5,0.41,2.3805428657290166,2.3805428657290166,2.3805428657290166
0.0,0.5,0.5,0.42,2.2401373287446904,2.2401373287446904,2.2401373287446904
0.0,0.5,0.5,0.43,2.105712060971405,2.105712060971405,2.105712060971405
0.0,0.5,0.5,0.44,1.9760367283883442,1.9760367283883442,1.9760367283883442
0.0,0.5,0.5,0.45,1.852180552543643,1.852180552543643,1.852180552543643
0.0,0.6,0.5,0.01,0.98462505780031,0.98462505780031,0.98462505780031
0.0,0.6,0.5,0.02,1.8196792328807831,1.8196792328807831,1.8196792328807831
0.0,0.6,0.5,0.03,2.5220012373345,2.5220012373345,2.5220012373345
0.0,0.6,0.5,0.04,3.1084559030191867,3.1084559030191867,3.1084559030191867
0.0,0.6,0.5,0.05,3.5938788109711313,3.5938788109711313,3.5938788109711313
0.0,0.6,0.5,0.06,3.990285233862953,3.990285233862953,3.990285233862953
0.0,0.6,0.5,0.07,4.306641194335937,4.306641194335937,4.306641194335937
0.0,0.6,0.5,0.08,4.556986300664632,4.556986300664632,4.556986300664632
0.0,0.6,0.5,0.09,4.744224346720741,4.744224346720741,4.744224346720741
0.0,0.6,0.5,0.1,4.881038879644423,4.881038879644423,4.881038879644423
0.0,0.6,0.5,0.11,4.971961864977124,4.971961864977124,4.971961864977124
0.0,0.6,0.5,0.12,5.026979076113879,5.026979076113879,5.026979076113879
0.0,0.6,0.5,0.13,5.044618852478307,5.044618852478307,5.044618852478307
0.0,0.6,0.5,0.14,5.032920870980378,5.032920870980378,5.032920870980378
0.0,0.6,0.5,0.15,4.995117687988281,4.995117687988281,4.995117687988281
0.0,0.6,0.5,0.16,4.936733603164687,4.936733603164687,4.936733603164687
0.0,0.6,0.5,0.17,4.8590039438188235,4.8590039438188235,4.8590039438188235
0.0,0.6,0.5,0.18,4.766320953648714,4.766320953648714,4.766320953648714
0.0,0.6,0.5,0.19,4.660070476467371,4.660070476467371,4.660070476467371
0.0,0.6,0.5,0.2,4.543644449551274,4.543644449551274,4.543644449551274
0.0,0.6,0.5,0.21,4.418377563853817,4.418377563853817,4.418377563853817
0.0,0.6,0.5,0.22,4.286153660502099,4.286153660502099,4.286153660502099
0.0,0.6,0.5,0.23,4.14815649690256,4.148662925360246,4.148662925360246
0.0,0.6,0.5,0.24,4.026639609350597,4.026639609350597,4.026639609350597
0.0,0.6,0.5,0.25,3.8731684355773925,3.8731684355773925,3.8731684355773925
0.0,0.6,0.5,0.26,3.727146411354274,3.727146411354274,3.727146411354274
0.0,0.6,0.5,0.27,3.580715491459743,3.580715491459743,3.580715491459743
0.0,0.6,0.5,0.28,3.4345661272198607,3.4345661272198607,3.4345661272198607
0.0,0.6,0.5,0.29,3.277246022457521,3.283024505926132,3.283024505926132
0.0,0.6,0.5,0.3,3.144644084599739,3.144644084599739,3.144644084599739
0.0,0.6,0.5,0.31,2.989791603936866,2.9978501649488574,2.9978501649488574
0.0,0.6,0.5,0.32,2.849417994434255,2.8584828291224724,2.8584828291224724
0.0,0.6,0.5,0.33,2.7239449147698878,2.7239449147698878,2.7239449147698878
0.0,0.6,0.5,0.34,2.589818951271904,2.589818951271904,2.589818951271904
0.0,0.6,0.5,0.35,2.458534994869232,2.458534994869232,2.458534994869232
0.0,0.6,0.5,0.36,2.3311767901724245,2.3311767901724245,2.3311767901724245
0.0,0.6,0.5,0.37,2.2072907550094305,2.2083690597260937,2.2083690597260937
0.0,0.6,0.5,0.38,2.1000194982772236,2.1000194982772236,2.1000194982772236
0.0,0.6,0.5,0.39,1.9586824312258426,1.974105119660692,1.974105119660692
0.0,0.6,0.5,0.4,1.8722551248129904,1.8722551248129904,1.8722551248129904
0.0,0.6,0.5,0.41,1.7636754572718483,1.7636754572718483,1.7636754572718483
0.0,0.6,0.5,0.42,1.6599299009617396,1.6599299009617396,1.6599299009617396
0.0,0.6,0.5,0.43,1.5599420577148315,1.5599420577148315,1.5599420577148315
0.0,0.6,0.5,0.44,1.463875306359959,1.463875306359959,1.463875306359959
0.0,0.6,0.5,0.45,1.372122267644303,1.372122267644303,1.372122267644303
0.0,0.7,0.5,0.01,0.769043891845703,0.769043891845703,0.769043891845703
0.0,0.7,0.5,0.02,1.4201623930450438,1.4201623930450438,1.4201623930450438
0.0,0.7,0.5,0.03,1.9692491156006198,1.9692491156006198,1.9692491156006198
0.0,0.7,0.5,0.04,2.42683127638717,2.42683127638717,2.42683127638717
0.0,0.7,0.5,0.05,2.8056369465672675,2.8056369465672675,2.8056369465672675
0.0,0.7,0.5,0.06,3.114538985021181,3.114538985021181,3.114538985021181
0.0,0.7,0.5,0.07,3.3618470194937413,3.3618470194937413,3.3618470194937413
0.0,0.7,0.5,0.08,3.557734110393377,3.557734110393377,3.557734110393377
0.0,0.7,0.5,0.09,3.704360105087286,3.704360105087286,3.704360105087286
0.0,0.7,0.5,0.1,3.8103796101095453,3.8103796101095453,3.8103796101095453
0.0,0.7,0.5,0.11,3.881775128159947,3.881775128159947,3.881775128159947
